,atss_count,bloc_count,cloc_count,dpt_count,etp_count,loc_count,nbeh_count,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nfl_count,nfmd_count,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count,nnwv_count,nsh_count,ntkn_count,ntnn_count,nts_count,ntun_count,ntvr_count,nun_count,clusters
0,3.0,0,0,2,-5.81,25,0.0,0.0,8,1.0,1,0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0.0,5.0,6,2,5.0,113,1.0,9.0,8.0,5.0,8.0,0
1,10.0,0,0,2,-4.01,10,0.0,0.0,5,0.0,0,0,0,0.0,0.0,1.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,1.0,1.0,1,1,0.0,31,0.0,1.0,1.0,5.0,2.0,0
2,9.0,0,2,5,-5.57,132,0.0,0.0,38,0.0,0,0,0,0.0,0.0,0.0,4,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119,0,0,0.0,4.0,22,2,0.0,373,0.0,15.0,7.0,8.0,7.0,1
3,6.0,0,0,2,-5.34,37,0.0,0.0,4,0.0,0,1,1,0.0,0.0,1.0,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30,0,0,1.0,4.0,6,0,1.0,133,0.0,6.0,6.0,4.0,6.0,0
4,13.0,0,0,3,-4.3,13,0.0,1.0,2,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0.0,0.0,2,0,0.0,34,1.0,1.0,0.0,2.0,2.0,0
5,11.0,0,0,2,-5.54,344,0.0,0.0,156,0.0,6,0,0,0.0,0.0,0.0,87,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,0,5,0.0,4.0,30,0,0.0,1328,0.0,30.0,28.0,28.0,28.0,2
6,6.0,12,0,2,-5.9,77,0.0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0,0,0.0,3.0,12,0,0.0,219,0.0,12.0,12.0,9.0,12.0,1
7,8.0,0,0,2,-4.57,17,0.0,0.0,8,0.0,0,0,0,0.0,0.0,2.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,2.0,2.0,2,0,1.0,60,0.0,2.0,2.0,6.0,2.0,0
8,9.0,0,0,2,-4.31,9,0.0,0.0,4,0.0,0,0,0,0.0,0.0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,0,0,1.0,1.0,1,0,0.0,29,0.0,1.0,1.0,7.0,1.0,0
9,8.0,0,0,2,-5.98,46,0.0,0.0,26,0.0,11,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38,0,18,0.0,4.0,5,1,0.0,166,1.0,6.0,5.0,4.0,6.0,4
