apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count,y
81,6,0,0,3,0.04,4,-6.23,ansible__molecule__3f8b4911d31684df68455ce9ba741de8cc80c6bc__molecule_cookiecutter_scenario_driver_ec2_{{cookiecutter.molecule_directory}}_{{cookiecutter.scenario_name}}_create.yml,71,0,0,0,30,0,0,0,0,0,0,3,0.27,9,0,0,0,0,0,0,0,2,0,0,0,0,79,3,0,3,6,0,7,1,0,0,1,0,0,1,1,10,2,0,0,0,0,254,2,0.25,8,6,0.75,21,7,1,10,0
,4,0,0,1,0.06,2,-4.68,iiab__iiab__8b692493605b97cdf3d3cee13b5d15b474a6b9e7__roles_9-local-addons_tasks_main.yml,18,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,18,0,0,0,3,0,6,1,0,0,,,,,,,,,,0,0,40,0,0,4,4,1,0,6,1,,0
,18,0,0,69,0.03,4,-8.77,MindPointGroup__RHEL7-STIG__b933b7557416a7fb3d56885a3118e741cad676e2__tasks_fix-cat2.yml,2225,0,0,29,457,27,58,1,4,0,0,45,0.29,72,0,0,0,0,0,0,0,0,0,4,0,,1733,0,21,50,14,0,240,0.95,12,0.05,,,,,,,,,,7,1,9454,7,0.05,141,132,0.94,143,208,0.83,,0
43,6,0,0,21,0.04,3,-7.72,ceph__ceph-ansible__9380fb59d19b5a56f4d7701affb4e839ebee9194__infrastructure-playbooks_purge-cluster.yml,475,0,0,0,105,8,30,0,0,0,0,18,0.26,36,0,0,0,1,0,0,0,0,0,0,0,1,369,0,2,16,11,0,75,0.87,11,0.13,11,0,0,11,1,11,16,0,0,0,15,1545,1,0.02,56,55,0.98,45,74,0.86,11,0
,6,0,0,4,0.04,2,-6.18,ceph__ceph-ansible__a0cb9a122daf9bcdafaac7350da2c3be5e522169__roles_ceph-osd_tasks_main.yml,95,0,0,0,29,0,20,0,0,0,0,4,0.18,4,0,0,0,0,0,0,0,0,0,12,0,,69,0,7,2,4,0,21,1,0,0,,,,,,,,,,0,0,258,0,0,18,18,1,6,21,1,,0
,14,0,0,5,0.08,2,-6.62,iiab__iiab__3966787ac95648bc1fe404cbef66dcdc2f4e93d1__roles_2-common_tasks_packages.yml,65,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,0,3,0,2,0,47,0.98,1,0.02,,,,,,,,,,0,0,151,0,0,5,5,1,1,48,1,,0
,8,0,0,0,0,2,-5.69,StackStorm__ansible-st2__232a31acfd1366a28667accefd3ecef2138d2779__roles_StackStorm.ewc_tasks_license.yml,68,0,0,0,13,1,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,,52,0,2,0,6,0,8,1,0,0,,,,,,,,,,0,0,185,0,0,8,8,1,7,8,1,,0
,4,0,0,7,0.28,1,-4.89,gc3-uzh-ch__elasticluster__c3ff0aaf5017dd6388229a9bf11d0b39cb7f8fe2__elasticluster_share_playbooks_roles_gridengine_tasks_clients.yml,25,0,0,0,8,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,17,0,0,2,2,0,5,1,0,0,,,,,,,,,,0,0,60,0,0,5,3,0.6,2,3,0.6,,0
,4,0,0,2,0.02,2,-6.84,iiab__iiab__91145c2f47bb95e2057934f3ca985556dc57af2c__roles_wordpress_tasks_install.yml,90,0,0,0,26,2,1,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,,60,0,3,1,11,0,18,1,0,0,,,,,,,,,,0,1,338,0,0,18,18,1,19,18,1,,0
,87,0,0,0,0,4,-5.97,oVirt__ovirt-ansible__b2ac61f97afbc6e102d85a16448f1f94278520fe__roles_ovirt-vm-infra_tasks_main.yml,87,1,1,1,43,0,2,0,0,0,0,2,1,19,0,0,0,0,0,0,0,0,1,0,0,,80,0,1,5,0,0,9,0.75,3,0.25,,,,,,,,,,0,0,303,1,1,1,0,0,33,12,1,,0
