apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count,y
,4,0,0,0,0,2,-5.99,iiab__iiab__7f7436a99024a735e9e281daa6a2867ae2229686__roles_iiab-admin_tasks_main.yml,33,0,0,0,11,0,4,0,0,0,0,1,0.12,0,0,0,0,0,0,0,0,2,0,0,0,,25,0,7,1,5,0,5,1,0,0,,,,,,,,,,0,0,116,2,0.29,7,5,0.71,5,5,1,,1
,10,0,0,0,0,2,-5.34,ceph__ceph-ansible__37f46a8c5de9585c2639cc4741ee8f62bc2c854b__roles_ceph-rgw_tasks_docker_start_docker_rgw.yml,29,0,0,0,6,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,,26,0,0,2,3,0,3,0.75,1,0.25,,,,,,,,,,0,0,78,0,0,3,3,1,5,4,1,,1
,8,0,0,0,0,2,-6.21,roots__trellis__5b50d799b34ed5f6bda72bb86a4927d9b44ca9c2__roles_wordpress-install_tasks_main.yml,63,0,0,0,28,6,1,1,5,0,0,7,0.47,13,0,0,0,0,0,0,0,1,0,0,0,,49,0,4,7,3,0,7,1,0,0,,,,,,,,,,0,0,299,1,0.12,8,7,0.88,17,7,1,,1
,16,0,0,0,0,2,-5.33,debops__debops__a34cdcaab6ca9e5154ab64116a75ed03c1cbd331__ansible_roles_debops.users_tasks_resources.yml,62,0,0,0,57,0,4,0,0,0,0,4,0.5,21,0,0,0,0,0,0,0,0,0,0,0,,46,0,17,4,2,0,4,1,0,0,,,,,,,,,,0,0,272,0,0,4,4,1,15,4,1,,1
,4,0,0,0,0,2,-5.5,roots__trellis__790265fdf6eca378828e9afbe3b823eb5dc09f11__roles_composer_tasks_main.yml,17,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,0,0,0,4,0,5,1,0,0,,,,,,,,,,0,0,66,0,0,5,5,1,2,5,1,,1
,6,0,0,2,0.06,2,-5.89,EMCECS__ECS-CommunityEdition__4d2adf16d7b306d2ed56d6dd818aa92dba407e4a__ui_ansible_roles_common_sync_caches_by_torrent_tasks_main.yml,35,0,0,0,11,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,35,0,4,0,5,0,5,1,0,0,,,,,,,,,,0,1,126,1,0.17,6,5,0.83,5,5,1,,1
,6,0,0,0,0,2,-5.41,nginxinc__ansible-role-nginx__532231609901be970493e6906a78ec5582249538__tasks_conf_push-config.yml,48,0,0,0,13,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,,46,0,0,2,3,0,8,1,0,0,,,,,,,,,,0,0,167,0,0,8,8,1,5,8,1,,1
,7,0,0,1,0.02,2,-6.01,RocketChat__Rocket.Chat.Ansible__516df17d92863fa3f24a560c1fd7d336b2272a83__tasks_nginx.yml,60,0,0,0,21,0,4,1,2,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,,52,0,4,2,5,0,10,1,0,0,,,,,,,,,,0,3,222,0,0,8,8,1,10,8,0.8,,1
,7,0,0,0,0,2,-5.92,geerlingguy__drupal-vm__3c3dd93d7c9523aacc6a74d12105ce97a30de3d8__provisioning_roles_geerlingguy.ruby_tasks_install-from-source.yml,53,0,0,0,12,1,3,0,0,0,0,4,0.36,0,0,0,0,0,0,0,0,0,0,0,0,,30,0,0,4,6,0,7,1,0,0,,,,,,,,,,0,0,133,0,0,7,7,1,4,7,1,,1
,6,0,0,10,0.1,2,-5.97,New-Edge-Engineering__ansible-rundeck__7fdc49175f7ad5cf9465727d7f9a8f9b05aa775c__tasks_main.yml,96,0,0,0,15,0,10,0,0,0,0,1,0.06,1,0,0,0,0,0,0,0,8,0,0,0,,74,0,0,1,6,0,10,1,0,0,,,,,,,,,,0,0,244,8,0.5,16,8,0.5,5,10,1,,1
