,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncmd_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,nsh_count,ntnn_count,ntun_count_relative,nun_count_relative,clusters
0,3.0,0,0.0,0,0.0,2,-5.81,25,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5.0,0.75,2,0.25,5.0,1.0,0.89,1.0,0
1,10.0,0,0.0,0,0.0,2,-4.01,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.5,1,0.5,0.0,0.0,1.0,1.0,1
2,9.0,0,0.0,2,0.02,5,-5.57,132,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4,2.0,0.13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0,0.92,2,0.08,0.0,0.0,0.47,0.29,3
3,6.0,0,0.0,0,0.0,2,-5.34,37,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.14,1,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1.0,4.0,1.0,0,0.0,1.0,0.0,1.0,1.0,4
4,13.0,0,0.0,0,0.0,3,-4.3,13,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,1.0,1
5,11.0,0,0.0,0,0.0,2,-5.54,344,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,87,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,4.0,1.0,0,0.0,0.0,0.0,0.93,0.93,2
6,6.0,12,0.16,0,0.0,2,-5.9,77,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,0,0.0,0.0,0.0,1.0,1.0,5
7,8.0,0,0.0,0,0.0,2,-4.57,17,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,1.0,0,0.0,1.0,0.0,1.0,1.0,1
8,9.0,0,0.0,0,0.0,2,-4.31,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
9,8.0,0,0.0,0,0.0,2,-5.98,46,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,18,0.0,4.0,0.83,1,0.17,0.0,1.0,0.83,1.0,4
11,4.0,0,0.0,0,0.0,2,-3.28,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
