apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count
,3.0,0,0.0,0,0.0,2,-5.81,redhat-cop_agnosticd_ansible_roles_ocp-workload-rhte-mw-msa-orchestration_tasks_workload.yml,25,0.0,0.0,0.0,8,1.0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24,0,0,0.0,5.0,0,6,0.75,2,0.25,,,,,,,,,,0,5.0,113,1.0,0.11,9.0,8.0,0.89,5.0,8.0,1.0,
,10.0,0,0.0,0,0.0,2,-4.01,oVirt_ovirt-ansible-infra_roles_ovirt.mac-pools_tasks_main.yml,10,0.0,0.0,0.0,5,0.0,0,0,0,0.0,0.0,1.0,0.5,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8,0,0,1.0,1.0,0,1,0.5,1,0.5,,,,,,,,,,0,0.0,31,0.0,0.0,1.0,1.0,1.0,5.0,2.0,1.0,
,9.0,0,0.0,2,0.02,5,-5.57,ansible_ansible_test_integration_targets_gcp_sql_user_tasks_main.yml,132,0.0,0.0,0.0,38,0.0,0,0,0,0.0,0.0,0.0,0.0,4,2.0,0.13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,119,0,0,0.0,4.0,0,22,0.92,2,0.08,,,,,,,,,,0,0.0,373,0.0,0.0,15.0,7.0,0.47,8.0,7.0,0.29,
,6.0,0,0.0,0,0.0,2,-5.34,avinetworks_ansible-role-docker_tasks_ee_yum.yml,37,0.0,0.0,0.0,4,0.0,0,1,1,0.0,0.0,1.0,0.14,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,30,0,0,1.0,4.0,0,6,1.0,0,0.0,,,,,,,,,,0,1.0,133,0.0,0.0,6.0,6.0,1.0,4.0,6.0,1.0,
,13.0,0,0.0,0,0.0,3,-4.3,DigitalState_Platform_platform_ansible_role_app_records_encryption_configure_tasks_main.yml,13,0.0,0.0,1.0,2,0.0,0,0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12,0,0,0.0,0.0,0,2,1.0,0,0.0,,,,,,,,,,0,0.0,34,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,
,11.0,0,0.0,0,0.0,2,-5.54,ansible_ansible_test_integration_targets_aci_interface_policy_ospf_tasks_main.yml,344,0.0,0.0,0.0,156,0.0,6,0,0,0.0,0.0,0.0,0.0,87,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,321,0,5,0.0,4.0,0,30,1.0,0,0.0,,,,,,,,,,0,0.0,1328,0.0,0.0,30.0,28.0,0.93,28.0,28.0,0.93,
,6.0,12,0.16,0,0.0,2,-5.9,ansible_ansible_test_integration_targets_win_rds_tasks_win_rds_settings_tests.yml,77,0.0,0.0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,52,0,0,0.0,3.0,0,12,1.0,0,0.0,,,,,,,,,,0,0.0,219,0.0,0.0,12.0,12.0,1.0,9.0,12.0,1.0,
,8.0,0,0.0,0,0.0,2,-4.57,fubarhouse_ansible-role-golang_tasks_go-install.yml,17,0.0,0.0,0.0,8,0.0,0,0,0,0.0,0.0,2.0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,0,0,2.0,2.0,0,2,1.0,0,0.0,,,,,,,,,,0,1.0,60,0.0,0.0,2.0,2.0,1.0,6.0,2.0,1.0,
,9.0,0,0.0,0,0.0,2,-4.31,openshift_openshift-ansible_roles_openshift_node_group_tasks_main.yml,9,0.0,0.0,0.0,4,0.0,0,0,0,0.0,0.0,1.0,0.5,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,9,0,0,1.0,1.0,0,1,1.0,0,0.0,,,,,,,,,,0,0.0,29,0.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,
,8.0,0,0.0,0,0.0,2,-5.98,debops_debops_ansible_roles_debops.console_tasks_main.yml,46,0.0,0.0,0.0,26,0.0,11,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,38,0,18,0.0,4.0,0,5,0.83,1,0.17,,,,,,,,,,0,0.0,166,1.0,0.17,6.0,5.0,0.83,4.0,6.0,1.0,
